Date,Hanimaadhoo,Hulhule,Kadhdhoo,Kaadedhdhoo,Gan
2021-08-20,30.854004,32.12494,31.890442,32.423218,32.245514
2021-08-21,30.818512,31.332245,31.015991,31.223541,31.169891
2021-08-22,33.200043,34.458893,32.887207,32.549805,31.194733
2021-08-23,31.49411,32.55899,32.058685,31.80838,31.603607
2021-08-24,31.06543,29.785645,30.919556,31.000916,31.450714
2021-08-25,29.08664,27.836182,30.971222,31.13559,32.285034
2021-08-26,28.882294,29.271667,29.474457,30.044708,31.470337
2021-08-27,30.104492,29.50653,31.234772,33.068207,32.920074
2021-08-28,28.936401,28.443665,30.438507,30.407227,30.744202
2021-08-29,29.135681,30.402252,30.46399,30.868988,31.25879
2021-08-30,30.305176,30.672089,32.05005,34.9787,34.532776
2021-08-31,30.302002,30.659607,32.17856,33.839783,35.300354
2021-09-01,29.561584,31.03769,32.292725,34.303894,34.472015
2021-09-02,30.78711,31.129791,32.323334,32.936707,32.843536
2021-09-03,30.96106,31.27771,32.730927,34.56711,35.336517
2021-09-04,30.229675,30.250916,32.25592,34.75116,35.448914
2021-09-05,29.37851,30.44339,32.262604,33.35324,33.43756
2021-09-06,30.30832,30.934235,31.76004,32.603546,33.207092
2021-09-07,30.31189,31.04309,32.912415,32.418,32.782837
2021-09-08,31.019257,32.53723,35.03299,35.60977,34.71704
2021-09-09,31.909332,35.121887,35.31671,36.17154,35.979248
2021-09-10,31.712952,32.967377,33.746338,32.763123,32.767822
2021-09-11,30.976807,33.09076,35.545837,35.912476,36.228394
2021-09-12,30.54892,32.14093,35.31082,34.336517,32.849487
2021-09-13,31.434753,33.39035,35.21881,33.450775,33.198853
2021-09-14,29.549927,32.473236,35.986053,35.156555,33.5737
2021-09-15,30.872162,28.515259,35.33844,34.76407,35.169342
2021-09-16,30.393524,31.728699,35.04489,35.66092,34.872467
2021-09-17,31.09134,33.07318,34.779663,34.280212,34.74698
2021-09-18,32.08194,33.264954,34.290802,35.784576,36.07495
2021-09-19,33.59323,33.85623,34.26761,35.099,35.155304
2021-09-20,32.93164,33.85196,34.432343,34.1575,33.55298
2021-09-21,29.833221,30.853516,31.419495,32.143402,31.8656
2021-09-22,30.577576,30.914764,30.229218,28.817108,28.912811
2021-09-23,31.450043,30.2547,31.204468,30.691101,30.366394
2021-09-24,30.745728,30.819366,30.800995,30.150452,31.250671
2021-09-25,30.077057,30.831207,31.071075,32.652252,31.686584
2021-09-26,26.146545,25.6427,28.132843,29.173584,30.004486
2021-09-27,29.45398,29.680145,29.920105,30.805573,30.415192
2021-09-28,28.608551,29.469452,30.855682,31.084412,31.660858
2021-09-29,31.229462,31.056702,32.645355,33.47882,33.56256
2021-09-30,32.167664,32.93918,34.03076,35.879547,36.016266
2021-10-01,30.011017,32.221497,33.04254,34.31433,35.371887
